3-HYDROXYISOBUTYRATE-DEHYDROGENASE-RXN AFE_1434
3.1.22.4-RXN AFE_2964
TRANS-RXN-141 AFE_2441
TRANS-RXN-141A AFE_2441
FUMARYLACETOACETASE-RXN AFE_1612
PREPHENATEDEHYDROG-RXN AFE_2144
RXN0-5268 AFE_2405
PYRUVDEH-RXN AFE_0042
GCVMULTI-RXN AFE_0042
RXN-8629 AFE_0042
RXN0-1133 AFE_0042
RXN0-1132 AFE_0042
PRAISOM-RXN AFE_1025
2.1.1.72-RXN AFE_1508
GST-RXN AFE_0335
GSHTRAN-RXN AFE_0335
GDPMANDEHYDRA-RXN AFE_3041
2-ISOPROPYLMALATESYN-RXN AFE_1103
RXN0-5256 AFE_2109
RXN-6622 AFE_1213
RXN-6642 AFE_1213
3.4.11.2-RXN AFE_1213
HOMOSERINE-O-ACETYLTRANSFERASE-RXN AFE_2735
N-ACETYLTRANSFER-RXN AFE_2376
DNA-LIGASE-NAD+-RXN AFE_2283
HEMN-RXN AFE_2891
OHMETHYLBILANESYN-RXN AFE_3033
ALANINE--TRNA-LIGASE-RXN AFE_2112
2PGADEHYDRAT-RXN AFE_2192
QUINOLINATE-SYNTHA-RXN AFE_2967
RXN1G-262 AFE_1179
RXN1G-881 AFE_1179
RXN1G-260 AFE_1179
RXN0-2142 AFE_1179
RXN1G-157 AFE_1179
RXN-9633 AFE_1179
RXN1G-358 AFE_1179
RXN-9540 AFE_1179
RXN1G-184 AFE_1179
RXN1G-1247 AFE_1179
RXN-9514 AFE_1179
RXN-9532 AFE_1179
RXN1G-182 AFE_1179
RXN-9536 AFE_1179
RXN1G-469 AFE_1179
RXN1G-617 AFE_1179
RXN1G-637 AFE_1179
RXN1G-163 AFE_1179
RXN1G-613 AFE_1179
RXN-9556 AFE_1179
RXN1G-252 AFE_1179
RXN-9518 AFE_1179
RXN1G-717 AFE_1179
RXN1G-240 AFE_1179
RXN1G-1053 AFE_1179
RXN1G-853 AFE_1179
RXN-9552 AFE_1179
3-OXOACYL-ACP-REDUCT-RXN AFE_1179
RXN1G-72 AFE_1179
RXN1G-951 AFE_1179
RXN1G-1050 AFE_1179
RXN1G-364 AFE_1179
RXN1G-481 AFE_1179
RXN1G-203 AFE_1179
RXN1G-409 AFE_1179
RXN1G-408 AFE_1179
RXN-9524 AFE_1179
RXN1G-384 AFE_1179
RXN-9528 AFE_1179
RXN1G-287 AFE_1179
RXN0-947 AFE_0533
TRANS-RXN9AR-16610 AFE_2269
TRANS-RXN-132 AFE_2269
TRANS-RXN9AR-16605 AFE_2269
TRANS-RXN-116 AFE_2269
TRANS-RXN9AR-16602 AFE_2269
1.8.98.1-RXN AFE_0548
F16ALDOLASE-RXN AFE_1409
